PamKlgMap1I	2024-03-10	N	Series|NA|Idol Throwdown|v. 3.0	
1irfvsDODow	2023-05-27	N	v. 1.0|SA|Series|HoloSud Showdown	
40	ay	Gatostada	ay	SebaZXup	2
147	ay	Gatostada	ay	SebaZXup	2
361	su	Gatostada	ay	SebaZXup	2

qdqihgDSSOI	2023-05-27	N	v. 1.0|SA|Series|HoloSud Showdown	
32	ay	GrayFokxx	ko	Gatostada	1
126	ay	GrayFokxx	ko	Gatostada	1
226	ay	GrayFokxx	ay	Gatostada	1

1BWua-0_iOQ	2023-05-27	N	v. 1.0|SA|Series|HoloSud Showdown	
16	ay	SebaZXup	so	Ajosac96	2
140	ay	SebaZXup	so	Ajosac96	2
348	ay	SebaZXup	so	Ajosac96	1
462	ay	SebaZXup	so	Ajosac96	1
593	ay	SebaZXup	so	Ajosac96	1

3y5-Z1IH64o	2023-10-14	N	v. 2.0|SA|Series|HoloSud Showdown	
44	bo	Benjakiller	su	JPEG	1
183	bo	Benjakiller	su	JPEG	1
278	bo	Benjakiller	su	JPEG	1

fpUO0Di1DTs	2023-10-14	N	v. 2.0|SA|Series|HoloSud Showdown	
20	so	Richi87	fu	Darktomy	1
106	so	Richi87	fu	Darktomy	1
184	so	Richi87	fu	Darktomy	1

5q70E1bupZk	2023-10-14	N	v. 2.0|SA|Series|HoloSud Showdown	
22	pe	Hana_Kun	ay	SebaZXup	2
197	pe	Hana_Kun	ay	SebaZXup	1
340	pe	Hana_Kun	ay	SebaZXup	2
528	pe	Hana_Kun	ay	SebaZXup	2

wOewCcOw7v8	2023-10-14	N	v. 2.0|SA|Series|HoloSud Showdown	
16	so	Richi87	bo	Benjakiller	1
368	so	Richi87	bo	Benjakiller	1
574	so	Richi87	bo	Benjakiller	1

iBynxJWo8Xg	2023-10-14	N	v. 2.0|SA|Series|HoloSud Showdown	
22	su	JPEG	fu	Darktomy	2
263	su	JPEG	fu	Darktomy	2
469	su	JPEG	fu	Darktomy	2

b7pL7qNshxI	2023-10-14	N	v. 2.0|SA|Series|HoloSud Showdown	
14	co	Benjakiller	ko	Rosbolt	1
179	ay	Benjakiller	ko	Rosbolt	1
287	ay	Benjakiller	ko	Rosbolt	1
425	ay	Benjakiller	ko	Rosbolt	1

QN3MtO26Gkk	2023-10-14	N	v. 2.0|SA|Series|HoloSud Showdown	
21	pe	Hana_Kun	fu	Darktomy	1
157	pe	Hana_Kun	fu	Darktomy	1
253	pe	Hana_Kun	fu	Darktomy	1

yKGO4TBmHdk	2023-10-14	N	v. 2.0|SA|Series|HoloSud Showdown	
23	bo	Benjakiller	pe	Hana_Kun	1
125	bo	Benjakiller	pe	Hana_Kun	1
329	bo	Benjakiller	pe	Hana_Kun	1

-6REBf98Uy0	2023-10-14	N	v. 2.0|SA|Series|HoloSud Showdown	
16	so	Richi87	ay	SebaZXup	1
144	so	Richi87	ay	SebaZXup	1
305	so	Richi87	ay	SebaZXup	1

Ve-nAJLFeSU	2023-10-14	N	v. 2.0|SA|Series|HoloSud Showdown	
28	bo	Benjakiller	ay	SebaZXup	2
538	bo	Benjakiller	ay	SebaZXup	2
703	bo	Benjakiller	ay	SebaZXup	2

gM3HZJKBUjA	2023-10-14	N	v. 2.0|SA|Series|HoloSud Showdown	
24	so	Richi87	ay	SebaZXup	1
134	so	Richi87	ay	SebaZXup	1
389	so	Richi87	ay	SebaZXup	1

