PamKlgMap1I	2024-03-10	N	Series|NA|Idol Throwdown|v. 3.0	
1658	ko	Exslide	ay	Bloo	1
1840	ko	Exslide	ay	Bloo	1
2024	ko	Exslide	ol	Bloo	1
2262	ko	Exslide	ak	Edward Yolag	2
2427	ko	Exslide	ak	Edward Yolag	1
2625	ko	Exslide	ak	Edward Yolag	2
2736	ko	Exslide	ak	Edward Yolag	2

KN4tYtTEkt0	2024-09-07	N	Series|JP/SEA|Japan Night Showdown|v. 4.1	
19	ay	neddie	in	fmittsu	1
221	ay	neddie	in	fmittsu	1

vDDrguvzIfg	2024-09-07	N	Series|JP/SEA|Japan Night Showdown|v. 4.1	
21	bo	heavy_ixia	ay	neddie	1
143	bo	heavy_ixia	ay	neddie	1

tHwUqjPT1ZQ	2024-09-07	N	Series|JP/SEA|Japan Night Showdown|v. 4.1	
24	in	fmittsu	su	EmErgy	2
133	in	fmittsu	su	EmErgy	1
209	in	fmittsu	su	EmErgy	1

cGAU24slBHc	2024-08-16	N	v. 4.0|NA|Community Concert|Exhibition	
400	co	ImUrNEMESIS	ay	Giant Rat	1
493	co	ImUrNEMESIS	ay	Giant Rat	1
651	co	ImUrNEMESIS	ay	Giant Rat	1
740	co	ImUrNEMESIS	ay	Giant Rat	1
893	co	ImUrNEMESIS	ay	Giant Rat	1
1199	ay	Bloo	so	SpicyLove	2
1408	ay	Bloo	so	SpicyLove	1
1595	ay	Bloo	so	SpicyLove	2
1792	ay	Bloo	so	SpicyLove	1
1959	ay	Bloo	so	SpicyLove	2
2291	ay	Bloo	so	SpicyLove	2
2461	ol	Bloo	so	SpicyLove	1
2662	ol	Bloo	in	SpicyLove	1
2903	ko	Cruelhaus	co	AaronCube	2
2994	ko	Cruelhaus	co	AaronCube	2
3133	ko	Cruelhaus	co	AaronCube	2
3331	ko	Cruelhaus	co	AaronCube	1
3505	ko	Cruelhaus	co	AaronCube	2
3721	co	AaronCube	ko	Cruelhaus	1
3909	co	wazim	su	Skylight	2
4105	pe	wazim	su	Skylight	1
4198	pe	wazim	su	Skylight	2
4298	pe	wazim	su	Skylight	1
4522	pe	wazim	su	Skylight	1
4655	pe	wazim	su	Skylight	1
4782	pe	wazim	su	Skylight	1

j5-0N11d_jQ	2024-09-14	N	v. 4.1|NA|Casuals	
16	fu	Chzchan	co	CrunchyFrog	1
241	fu	Chzchan	co	CrunchyFrog	1
428	fu	Chzchan	co	CrunchyFrog	1
544	fu	Chzchan	co	CrunchyFrog	1
678	fu	Chzchan	co	CrunchyFrog	1

7KwfTz1SeYA	2024-09-07	N	Series|JP/SEA|Japan Night Showdown|v. 4.1	
19	su	Koushun	in	fmittsu	2
127	su	Koushun	in	fmittsu	2

IFsBDTpd5no	2024-09-08	N	v. 4.1|EU|Series|Bloodflame Tournament|Cross-Region|NA|SA	
712	su	Slimjim8345	fu	vikarus	2
896	su	Slimjim8345	fu	vikarus	1
1098	su	Slimjim8345	fu	vikarus	2
1514	ak	Edward Yolag	ko	Exslide	1
1659	ak	Edward Yolag	ko	Exslide	1
1950	ak	Edward Yolag	pe	wazim	2
2110	ak	Edward Yolag	pe	wazim	1
2269	ak	Edward Yolag	pe	wazim	2
2519	ak	AaronCube	in	Nekuro	1
2625	ak	AaronCube	in	Nekuro	1
2930	ak	Edward Yolag	in	J3	2
3013	ak	Edward Yolag	in	J3	2
3297	in	AaronCube	pe	wazim	2
3416	in	AaronCube	pe	wazim	2
3578	in	AaronCube	pe	wazim	2
3855	ko	Exslide	in	Nekuro	2
4011	ko	Exslide	in	Nekuro	1
4248	ko	Exslide	in	Nekuro	1
4561	ko	Exslide	in	J3	2
4683	ko	Exslide	in	J3	2
5073	in	AaronCube	in	J3	2
5272	in	AaronCube	in	J3	2
5358	in	AaronCube	in	J3	2
5622	in	J3	pe	wazim	1
5770	in	J3	pe	wazim	1
5925	in	J3	pe	wazim	1
6089	in	J3	pe	wazim	1
6223	in	J3	pe	wazim	2
6436	in	J3	pe	wazim	1
6688	in	J3	pe	wazim	2
6879	in	J3	pe	wazim	1

vLuZRnUUGsU	2024-09-07	N	Series|JP/SEA|Japan Night Showdown|v. 4.1	
21	ay	neddie	in	fmittsu	1
145	ay	neddie	in	fmittsu	1

xGdsgjKPcNo	2024-09-15	N	v. 4.1|EU|Series|Bloodflame Tournament|Cross-Region|NA|SA	
983	co	AaronCube	ak	Edward Yolag	1
1162	co	AaronCube	ak	Edward Yolag	2
1272	co	AaronCube	ak	Edward Yolag	1
1486	ol	TitanicWomble	su	J3	2
1579	ol	TitanicWomble	su	J3	2
1819	ak	Edward Yolag	co	Lozardo	1
1985	ak	Edward Yolag	co	Lozardo	1
2252	pe	wazim	in	AaronCube	1
2375	pe	wazim	in	AaronCube	1
2717	ko	Exslide	su	J3	2
2908	ko	Exslide	su	J3	2
3184	co	wazim	su	J3	2
3348	co	wazim	su	J3	1
3582	co	wazim	su	J3	2
3707	co	wazim	su	J3	1
3854	co	wazim	su	J3	2
4117	ak	Edward Yolag	ko	Exslide	2
4293	ak	Edward Yolag	ko	Exslide	1
4429	ak	Edward Yolag	ko	Exslide	2
4711	ko	Exslide	in	AaronCube	2
4839	ko	Exslide	in	AaronCube	2
5048	ko	wazim	in	AaronCube	1
5193	ko	wazim	in	AaronCube	1
5336	ko	wazim	co	AaronCube	2
5577	fu	wazim	co	AaronCube	1
5731	fu	wazim	su	J3	2
5951	pe	wazim	su	J3	2
6127	pe	wazim	su	J3	2

2ZsfU1EDO84	2024-09-07	N	Series|JP/SEA|Japan Night Showdown|v. 4.1	
19	bo	heavy_ixia	ay	neddie	1
192	bo	heavy_ixia	ay	neddie	1
285	bo	heavy_ixia	ay	neddie	2
392	bo	heavy_ixia	ay	neddie	2
504	bo	heavy_ixia	ay	neddie	1

CVH1QNNrtsE	2024-09-01	N	Series|NA|Showdown Festival|v. 4.0	
46	co	CrunchyFrog	fu	vikarus	2
263	ay	Akuadynasty	ko	Cruelhaus	2
419	ay	Akuadynasty	ko	Cruelhaus	1
575	ay	Akuadynasty	ko	Cruelhaus	1
892	su	Skylight	fu	vikarus	2
1051	su	Skylight	fu	vikarus	2
1411	in	AaronCube	ay	Akuadynasty	2
1592	in	AaronCube	ay	Akuadynasty	2
1864	ko	Mastah_CJ	fu	J3	2
1998	ko	Mastah_CJ	fu	J3	2
2132	ko	Mastah_CJ	fu	J3	2
2424	fu	vikarus	ay	Akuadynasty	2
2608	fu	vikarus	ay	Akuadynasty	2
2773	ko	Mastah_CJ	ay	Akuadynasty	1
2939	ko	Mastah_CJ	ay	Akuadynasty	2
3097	ko	Mastah_CJ	ay	Akuadynasty	2
3269	ko	Mastah_CJ	ay	Akuadynasty	2
3624	fu	J3	ay	Akuadynasty	1
3778	fu	J3	ay	Akuadynasty	1
3917	fu	J3	ay	Akuadynasty	1
4814	ko	Cruelhaus	co	CrunchyFrog	1
4926	ko	Cruelhaus	co	CrunchyFrog	2
5104	ko	Cruelhaus	co	CrunchyFrog	1
5274	ko	Cruelhaus	co	CrunchyFrog	1

70y57LmTN4c	2024-09-22	N	Series|NA|Showdown Festival|v. 4.1|Cross-Region|EU	
959	ay	Novella	ko	Exslide	2
1133	ay	Novella	ko	Exslide	2
1434	pe	wazim	fu	vikarus	1
1593	pe	wazim	fu	vikarus	2
1772	pe	wazim	fu	vikarus	1
2006	ko	Cruelhaus	ko	Mastah_CJ	1
2139	ko	Cruelhaus	ko	Mastah_CJ	1
2534	ay	Akuadynasty	pe	wazim	1
2712	ay	Akuadynasty	pe	wazim	1
3438	ko	Exslide	ko	Mastah_CJ	1
3593	ko	Exslide	ko	Mastah_CJ	2
3702	ko	Exslide	ko	Mastah_CJ	2
3937	ko	Cruelhaus	ak	AaronCube	2
4060	ko	Cruelhaus	ak	AaronCube	2
4275	ay	Novella	fu	vikarus	2
4456	ay	Novella	fu	vikarus	1
4554	ay	Novella	fu	vikarus	2
4837	pe	wazim	ko	Mastah_CJ	1
4966	pe	wazim	ko	Mastah_CJ	2
5147	pe	wazim	ko	Mastah_CJ	1
5386	fu	vikarus	ko	Cruelhaus	1
5581	fu	vikarus	ko	Cruelhaus	1
5873	co	AaronCube	ay	Akuadynasty	2
5996	co	AaronCube	ay	Akuadynasty	2
6128	co	AaronCube	ay	Akuadynasty	2
6394	pe	wazim	fu	vikarus	1
6517	pe	wazim	fu	vikarus	1
6783	pe	wazim	ak	AaronCube	1
6928	pe	wazim	ak	AaronCube	1
7087	pe	wazim	ak	AaronCube	1
7302	pe	wazim	ay	Akuadynasty	2
7483	pe	wazim	ay	Akuadynasty	1
7667	pe	wazim	ay	Akuadynasty	1
7819	pe	wazim	ay	Akuadynasty	1
7999	pe	wazim	ay	Akuadynasty	1
8150	pe	wazim	ay	Akuadynasty	2
8288	pe	wazim	ay	Akuadynasty	2
8433	pe	wazim	ay	Akuadynasty	2

P0umwRTWWD8	2024-09-21	N	Series|JP/SEA|Japan Night Showdown|v. 4.1	
19	bo	heavy_ixia	ak	tetora	2
218	bo	heavy_ixia	ak	tetora	2

mXJ9KDnJpFw	2024-09-21	N	Series|JP/SEA|Japan Night Showdown|v. 4.1	
12	su	EmErgy	ay	89gin_light	1
183	su	EmErgy	ay	89gin_light	1

Nff63ZdXXG8	2024-09-21	N	Idol Arena|Series|SA|v. 4.1|Exhibition	
40	ol	drierdolpin 04	ol	Javier	2
128	ol	drierdolpin 04	ol	Javier	2
215	ol	drierdolpin 04	ol	Javier	2
329	ol	drierdolpin 04	ol	Javier	1
497	ol	drierdolpin 04	ol	Javier	2
670	ol	drierdolpin 04	ol	Javier	2
816	fu	K.O.D.	ol	Ajosac96	1
945	fu	K.O.D.	ol	Ajosac96	1
1126	fu	K.O.D.	ol	Ajosac96	1
1236	fu	K.O.D.	ol	Ajosac96	1
1411	fu	K.O.D.	ol	Ajosac96	1
1616	bo	MDX	bo	Mukyo	1
1744	bo	MDX	in	Mukyo	2
1867	ko	MDX	in	Mukyo	2
1985	ko	MDX	in	Mukyo	2
2129	ko	MDX	in	Mukyo	2
2241	ko	MDX	in	Mukyo	1
2355	ko	MDX	co	Mukyo	2
2455	ko	MDX	co	Mukyo	2
2570	ko	MDX	co	Mukyo	2

Xc33bKCUGLw	2024-09-21	N	Series|JP/SEA|Japan Night Showdown|v. 4.1	
17	bo	heavy_ixia	su	EmErgy	1
195	bo	heavy_ixia	su	EmErgy	2
319	bo	heavy_ixia	su	EmErgy	1

qNR1N2Ofo64	2024-09-21	N	Series|JP/SEA|Japan Night Showdown|v. 4.1	
18	ak	tetora	bo	heavy_ixia	1
175	ak	tetora	bo	heavy_ixia	1
344	ak	tetora	bo	heavy_ixia	1

rQiUa1JWZCY	2024-09-29	N	v. 4.1|EU|Series|Bloodflame Tournament|Cross-Region|NA|SA	
1097	ak	Edward Yolag	fu	vikarus	1
1199	ak	Edward Yolag	fu	vikarus	1
1411	ak	Edward Yolag	ay	Novella	1
1554	ak	Edward Yolag	ay	Novella	2
1675	ak	Edward Yolag	ay	Novella	2
2099	ak	AaronCube	su	wazim	2
2259	ak	AaronCube	su	wazim	2
2551	ak	Edward Yolag	ko	MDX	1
2721	ak	Edward Yolag	ko	MDX	1
3224	ak	Edward Yolag	pe	wazim	1
3356	ak	Edward Yolag	pe	wazim	2
3464	ak	Edward Yolag	pe	wazim	2
3722	ay	Novella	ko	MDX	2
3854	ay	Novella	ko	MDX	1
4041	ay	Novella	ko	MDX	2
4274	ak	Edward Yolag	co	AaronCube	1
4407	ak	Edward Yolag	co	AaronCube	2
4521	ak	Edward Yolag	co	AaronCube	2
4729	ak	Edward Yolag	ko	Exslide	1
4904	ak	Edward Yolag	ko	Exslide	1
5289	ay	Novella	co	AaronCube	1
5438	ay	Novella	co	AaronCube	2
5613	ay	Novella	co	AaronCube	2
5884	ay	wazim	ko	MDX	2
6154	ay	wazim	ko	MDX	1
6301	ay	wazim	ko	MDX	1
6497	ko	Exslide	fu	vikarus	1
6673	ko	Exslide	fu	vikarus	1

i3vAVudgRjY	2024-10-07	N	v. 4.1|JP/SEA|Casuals	
5	su	EmErgy	fu	murasamenakazima2604	1
112	su	EmErgy	fu	murasamenakazima2604	2
185	su	EmErgy	fu	murasamenakazima2604	1
360	su	EmErgy	fu	murasamenakazima2604	1
552	su	EmErgy	fu	murasamenakazima2604	1

9pDWKa-H0lw	2024-10-05	N	v. 4.1|NA|Casuals	
12	pe	wazim	fu	Chzchan	1
143	pe	wazim	fu	Chzchan	1
330	pe	wazim	fu	Chzchan	1
474	pe	wazim	fu	Chzchan	2
720	pe	wazim	fu	Chzchan	1
913	pe	wazim	fu	Chzchan	1
1023	pe	wazim	fu	Chzchan	2
1179	pe	wazim	fu	Chzchan	1
1380	pe	wazim	fu	Chzchan	2
1562	pe	wazim	fu	Chzchan	1
1722	pe	wazim	fu	Chzchan	1
1930	pe	wazim	fu	Chzchan	2
2148	pe	wazim	fu	Chzchan	1
2314	pe	wazim	fu	Chzchan	1
2482	pe	wazim	fu	Chzchan	1
2706	pe	wazim	fu	Chzchan	2
2861	pe	wazim	fu	Chzchan	1
2991	pe	wazim	fu	Chzchan	1
3197	pe	wazim	fu	Chzchan	1
3356	pe	wazim	fu	Chzchan	1
3501	pe	wazim	fu	Chzchan	2
3756	pe	wazim	fu	Chzchan	2
3872	pe	wazim	fu	Chzchan	1
3998	pe	wazim	fu	Chzchan	1
4193	pe	wazim	fu	Chzchan	2

xn68h_D1wNg	2024-10-05	N	Series|JP/SEA|Japan Night Showdown|v. 4.1	
19	su	Koushun	in	fmittsu	1
180	su	Koushun	in	fmittsu	1

J1uY5wLrHBo	2024-10-05	N	Series|JP/SEA|Japan Night Showdown|v. 4.1	
19	bo	heavy_ixia	fu	zttiro	1
177	bo	heavy_ixia	fu	zttiro	2
318	bo	heavy_ixia	fu	zttiro	2

_Xqef9hR9JQ	2024-10-05	N	Series|JP/SEA|Japan Night Showdown|v. 4.1	
17	su	Koushun	fu	zttiro	1
175	su	Koushun	fu	zttiro	1

bV1JNb01klU	2024-10-05	N	Series|JP/SEA|Japan Night Showdown|v. 4.1	
26	in	fmittsu	bo	heavy_ixia	1
157	in	fmittsu	bo	heavy_ixia	2
298	in	fmittsu	bo	heavy_ixia	2

yfqfvmbCzMc	2024-10-05	N	Series|JP/SEA|Japan Night Showdown|v. 4.1	
18	fu	zttiro	bo	heavy_ixia	2
187	fu	zttiro	bo	heavy_ixia	2

dyPzQ8pl3T0	2024-10-12	N	Idol Arena|Series|SA|v. 4.1|Exhibition|Cross-Region|NA	
2	so	Order Kyo	so	Richi87	1
141	so	Order Kyo	so	Richi87	2
277	so	Order Kyo	so	Richi87	1
502	so	Order Kyo	so	Richi87	1
720	so	Order Kyo	so	Richi87	1
1033	so	Order Kyo	so	Richi87	1
1268	pe	LudgerKant	su	DamianR95	2
1449	pe	LudgerKant	su	DamianR95	2
1612	pe	LudgerKant	su	DamianR95	2
1831	pe	LudgerKant	su	DamianR95	1
1958	pe	LudgerKant	su	DamianR95	2
2163	pe	LudgerKant	su	DamianR95	2
2360	pe	LudgerKant	su	DamianR95	1
2474	pe	LudgerKant	su	DamianR95	2
2646	pe	LudgerKant	su	DamianR95	1
2798	pe	LudgerKant	su	DamianR95	1
3075	pe	LudgerKant	su	DamianR95	2
3239	ay	Akuadynasty	bo	Seishin	1
3394	ay	Akuadynasty	bo	Seishin	1
3543	ay	Akuadynasty	bo	Seishin	2
3690	ay	Akuadynasty	bo	Seishin	1
3895	ay	Akuadynasty	bo	Seishin	2
3996	ay	Akuadynasty	bo	Seishin	2
4167	ay	Akuadynasty	bo	Seishin	1
4306	ay	Akuadynasty	bo	Seishin	2
4466	ay	Akuadynasty	bo	Seishin	1
4624	ay	Akuadynasty	bo	Seishin	2
4770	ay	Akuadynasty	bo	Seishin	2
4870	ay	Akuadynasty	bo	Seishin	1
5033	ay	Akuadynasty	bo	Seishin	1
5130	ay	Akuadynasty	bo	Seishin	1
5315	ay	Akuadynasty	bo	Seishin	1
5516	ay	Akuadynasty	bo	Seishin	2
5694	ay	Akuadynasty	bo	Seishin	2
5775	ay	Akuadynasty	bo	Seishin	2
5904	ay	Akuadynasty	bo	Seishin	1

DB4hTtPoEBQ	2024-10-05	N	Series|JP/SEA|Japan Night Showdown|v. 4.1	
18	su	Koushun	bo	heavy_ixia	1
264	su	Koushun	bo	heavy_ixia	1
446	su	Koushun	bo	heavy_ixia	2
663	su	Koushun	bo	heavy_ixia	1

BrdlEUEBDTs	2024-10-19	N	v. 4.1|SA|Series|HoloSud Showdown	
83	co	MDX	fu	K.O.D.	2
218	co	MDX	fu	K.O.D.	2
373	co	TotoroXVI	ay	Vitu Pyrope	2
538	co	TotoroXVI	ay	Vitu Pyrope	2
718	ay	Beltenebris	pe	LudgerKant	2
933	ay	Beltenebris	pe	LudgerKant	1
1053	ay	Beltenebris	pe	LudgerKant	2
1152	ol	Ajosac96	ko	MDX	2
1265	ol	Ajosac96	ko	MDX	2
1373	ay	Vitu Pyrope	bo	Javier	1
1517	ay	Vitu Pyrope	bo	Javier	2
1700	ay	Vitu Pyrope	bo	Javier	1
1912	su	DamianR95	pe	LudgerKant	1
2144	su	DamianR95	pe	LudgerKant	1
2308	bo	Mukyo	ay	VDruid0	2
2412	co	Mukyo	ay	VDruid0	2
2540	ko	MDX	ay	Beltenebris	2
2777	ko	MDX	ay	Beltenebris	2
2896	in	Mukyo	ay	Beltenebris	2
3034	in	Mukyo	ay	Beltenebris	2
3926	su	DamianR95	ay	Vitu Pyrope	2
4116	su	DamianR95	ay	Vitu Pyrope	1
4359	su	DamianR95	ay	Vitu Pyrope	1
4584	su	DamianR95	ay	Vitu Pyrope	1
4695	ay	VDruid0	ay	Beltenebris	1
4803	ay	VDruid0	ay	Beltenebris	2
4890	ay	VDruid0	ay	Beltenebris	2
5017	ay	VDruid0	ay	Beltenebris	1
5158	ay	VDruid0	ay	Beltenebris	2
5360	su	DamianR95	ay	Beltenebris	1
5494	su	DamianR95	ay	Beltenebris	2
5582	su	DamianR95	ay	Beltenebris	2
5686	su	DamianR95	ay	Beltenebris	2
5836	su	DamianR95	ay	Beltenebris	2
5954	su	DamianR95	ay	Beltenebris	2
6166	su	DamianR95	ay	Beltenebris	1
6348	su	DamianR95	ay	Beltenebris	1
6564	su	DamianR95	ay	Beltenebris	2

HIBzaiBJmd8	2024-09-28	N	v. 4.1|SA|Series|HoloSud Showdown	
5	ko	MDX	ak	Mukyo	2
110	ko	MDX	ak	Mukyo	2
706	ak	Mukyo	so	Order Kyo	1
888	ak	Mukyo	so	Order Kyo	1
1017	su	DamianR95	ay	Beltenebris	2
1177	su	DamianR95	ay	Beltenebris	2
1399	su	DamianR95	ol	Ajosac96	1
1532	su	DamianR95	ol	Ajosac96	2
1681	su	DamianR95	ol	Ajosac96	1
1812	ak	Mukyo	fu	K.O.D.	1
2008	ak	Mukyo	fu	K.O.D.	1
2171	ol	drierdolpin 04	ol	Beltenebris	2
2263	ol	drierdolpin 04	ol	Beltenebris	2
2412	su	DamianR95	ko	MDX	2
2624	su	DamianR95	ko	MDX	1
2801	su	DamianR95	ko	MDX	2
3431	ko	MDX	fu	K.O.D.	2
3691	ko	MDX	fu	K.O.D.	1
3871	ko	MDX	fu	K.O.D.	2
4722	ak	Mukyo	ay	Beltenebris	2
4933	ak	Mukyo	ay	Beltenebris	2
5043	ak	Mukyo	ay	Beltenebris	2
5187	ak	Mukyo	fu	K.O.D.	1
5334	ak	Mukyo	fu	K.O.D.	2
5494	ak	Mukyo	fu	K.O.D.	2
5702	co	Mukyo	fu	K.O.D.	1
6101	fu	K.O.D.	ay	Beltenebris	2
6247	fu	K.O.D.	ay	Beltenebris	2
6373	fu	K.O.D.	ay	Beltenebris	1
6530	fu	K.O.D.	ay	Beltenebris	2

vHXfEbNXSX0	2024-10-19	N	2v2|Series|JP/SEA|Japan Night Showdown|v. 4.1	
17	ak	tetora	fu	akira	1
104	ak	tetora	fu	akira	1
202	su	Koushun	ay	neddie	1
376	su	Koushun	ay	neddie	2
596	su	Koushun	ay	neddie	1

D4Nz_LF8CNY	2024-08-06	N	v. 4.1|EU|Series|Bloodflame Tournament|Cross-Region|NA|SA	
1195	fu	K.O.D.	pe	wazim	2
1365	fu	K.O.D.	pe	wazim	2
1709	ak	Edward Yolag	su	VermaxenTheMad	2
1818	ak	Edward Yolag	su	VermaxenTheMad	2
2416	ko	Exslide	ay	Beltenebris	2
2538	ko	Exslide	ay	Beltenebris	2
2887	ak	Edward Yolag	fu	vikarus	1
3024	ak	Edward Yolag	fu	vikarus	1
3345	co	Mukyo	su	VermaxenTheMad	1
3510	co	Mukyo	su	VermaxenTheMad	1
3834	ak	Edward Yolag	ko	Exslide	2
4069	ak	Edward Yolag	ko	Exslide	2
4404	ay	Beltenebris	fu	SEDEX | Encomenda	1
4512	ay	Beltenebris	fu	SEDEX | Encomenda	1
4702	pe	wazim	ak	Mukyo	1
4847	pe	wazim	ak	Mukyo	1
5236	fu	Violingolfer	fu	SEDEX | Encomenda	1
5787	ak	Mukyo	ko	Exslide	2
6003	ak	Mukyo	ko	Exslide	2
6358	pe	wazim	ay	Beltenebris	2
6675	pe	wazim	ay	Beltenebris	2
6919	pe	wazim	ay	Beltenebris	2
7186	fu	Violingolfer	ko	Exslide	2
7385	fu	Violingolfer	ko	Exslide	2
7684	pe	wazim	ko	Exslide	2
7871	pe	wazim	ko	Exslide	1
7981	pe	wazim	ko	Exslide	2
8256	pe	wazim	ko	Exslide	2
8993	ay	Beltenebris	ko	Exslide	1
9137	ay	Beltenebris	ko	Exslide	2
9292	ay	Beltenebris	ko	Exslide	1
9498	ay	Beltenebris	ko	Exslide	2
9634	ay	Beltenebris	ko	Exslide	1

mQTITU8F9vU	2024-10-19	N	2v2|Series|JP/SEA|Japan Night Showdown|v. 4.1	
24	ak	tetora	fu	Mizu?	1
125	ak	tetora	fu	Mizu?	1
248	su	Koushun	ol	knsk	1
430	su	Koushun	ol	knsk	1

B27MILjkX-8	2024-10-19	N	2v2|Series|JP/SEA|Japan Night Showdown|v. 4.1	
19	fu	akira	fu	Mizu?	2
226	fu	akira	fu	Mizu?	1
350	fu	akira	fu	Mizu?	2
533	ay	neddie	ol	knsk	1
699	ay	neddie	ol	knsk	1
901	ay	neddie	fu	Mizu?	1
1046	ay	neddie	fu	Mizu?	1

b8NzhgMg6m0	2024-10-05	N	v. 4.1|NA|Casuals	
9	pe	wazim	fu	Chzchan	1
157	pe	wazim	fu	Chzchan	2
399	pe	wazim	fu	Chzchan	1
636	pe	wazim	fu	Chzchan	2
855	pe	wazim	fu	Chzchan	2
1214	so	wazim	fu	Chzchan	1
1425	so	wazim	fu	Chzchan	1
1567	so	wazim	fu	Chzchan	2
1796	so	wazim	fu	Chzchan	1
1945	so	wazim	fu	Chzchan	1
2157	so	wazim	fu	Chzchan	2
2331	co	wazim	fu	Chzchan	1
2494	co	wazim	fu	Chzchan	1
2639	co	wazim	fu	Chzchan	1
2779	co	wazim	fu	Chzchan	1
2964	co	wazim	fu	Chzchan	1
3140	co	wazim	fu	Chzchan	1
3253	co	wazim	fu	Chzchan	1
3370	co	wazim	fu	Chzchan	1
3504	co	wazim	fu	Chzchan	2
3734	co	wazim	fu	Chzchan	2
3950	co	wazim	fu	Chzchan	1
4094	co	wazim	fu	Chzchan	1

rYZ66tCPwz4	2024-11-03	N	v. 4.1|SA|Vortex Gallery|VGOn24	
4	su	PratesKun	ol	FlameMDQ	1
182	su	PratesKun	co	FlameMDQ	1
343	ay	AnotherNoob	su	DamianR95	2
432	ay	AnotherNoob	su	DamianR95	2
549	ko	MDX	in	Schwi	2
747	ko	MDX	in	Schwi	2
1461	bo	Javier	ay	Beltenebris	2
1574	bo	Javier	ay	Beltenebris	2
1697	co	Mukyo	su	DamianR95	1
1822	co	Mukyo	su	DamianR95	2
1964	co	Mukyo	su	DamianR95	2
2092	ay	Beltenebris	in	Schwi	1
2233	ay	Beltenebris	in	Schwi	1
2360	su	DamianR95	pe	LudgerKant	1
2650	su	DamianR95	pe	LudgerKant	1
3438	co	CodeEpsilon5	ol	Ajosac96	2
3558	co	CodeEpsilon5	ol	Ajosac96	1
3660	co	CodeEpsilon5	ol	Ajosac96	1
4485	co	CodeEpsilon5	pe	LudgerKant	2
4600	co	CodeEpsilon5	pe	LudgerKant	2
4797	ay	Beltenebris	su	DamianR95	1
4920	ay	Beltenebris	su	DamianR95	1
5104	ay	Beltenebris	su	DamianR95	2
5267	ay	Beltenebris	su	DamianR95	1
6076	su	DamianR95	pe	LudgerKant	2
6188	su	DamianR95	pe	LudgerKant	2
6331	su	DamianR95	pe	LudgerKant	1
6593	su	DamianR95	pe	LudgerKant	2
6838	ay	Beltenebris	pe	LudgerKant	1
6959	ay	Beltenebris	pe	LudgerKant	1
7152	ay	Beltenebris	pe	LudgerKant	2
7320	ay	Beltenebris	pe	LudgerKant	2
7427	ay	Beltenebris	pe	LudgerKant	2
7561	ay	Beltenebris	pe	LudgerKant	2
7769	ay	Beltenebris	pe	LudgerKant	2
7955	ay	Beltenebris	pe	LudgerKant	2

7kUJXMnfZZs	2024-11-03	N	v. 4.1|NA|Vortex Gallery|VGOn24	
666	co	astrodesert	ay	J.T.	2
775	co	astrodesert	ay	J.T.	2
1103	ko	YFDHippo	pe	Nutria	1
1303	ko	YFDHippo	pe	Nutria	1
1607	fu	Violingolfer	ol	Bloo	1
1734	fu	Violingolfer	ol	Bloo	1
2069	fu	vikarus	su	Skylight	1
2208	fu	vikarus	su	Skylight	2
2377	fu	vikarus	su	Skylight	2
2603	ay	Akuadynasty	fu	Keyboard Noah	1
2807	ay	Akuadynasty	fu	Keyboard Noah	2
2945	ay	Akuadynasty	fu	Keyboard Noah	2
3253	fu	Violingolfer	ol	Lucy	1
3418	fu	Violingolfer	ol	Lucy	1
3822	pe	wazim	su	Skylight	1
3981	pe	wazim	su	Skylight	1
4252	ay	Novella	bo	Library	2
4369	ay	Novella	bo	Library	2
4608	ak	Keyboard Noah	co	AaronCube	2
4741	ak	Keyboard Noah	co	AaronCube	1
4889	ak	Keyboard Noah	co	AaronCube	2
5173	su	Skylight	co	CrunchyFrog	1
5346	su	Skylight	co	CrunchyFrog	1
5602	ol	Bloo	fu	Keyboard Noah	2
5728	ay	Bloo	fu	Keyboard Noah	2
6607	pe	wazim	fu	Violingolfer	1
6803	pe	wazim	fu	Violingolfer	1
7121	co	AaronCube	bo	Library	1
7257	co	AaronCube	bo	Library	2
7361	co	AaronCube	bo	Library	2
7652	fu	vikarus	fu	Keyboard Noah	1
7791	fu	vikarus	fu	Keyboard Noah	1
8073	su	Skylight	ay	Akuadynasty	1
8258	su	Skylight	ay	Akuadynasty	2
8414	su	Skylight	ay	Akuadynasty	1
8738	fu	Violingolfer	fu	vikarus	1
8918	fu	Violingolfer	fu	vikarus	2
9092	fu	Violingolfer	fu	vikarus	1
9354	co	AaronCube	su	Skylight	2
9498	co	AaronCube	su	Skylight	2
9779	pe	wazim	bo	Library	2
9897	pe	wazim	bo	Library	2
10045	fu	wazim	bo	Library	2
10416	su	Skylight	fu	Violingolfer	1
10508	su	Skylight	fu	Violingolfer	1
10707	su	Skylight	pe	wazim	2
10822	su	Skylight	pe	wazim	2
11018	su	Skylight	pe	wazim	2
11263	bo	Library	pe	wazim	2
11457	bo	Library	pe	wazim	1
11625	bo	Library	pe	wazim	1
11801	bo	Library	pe	wazim	1

k3cV_naKeeY	2024-10-20	N	v. 4.1|EU|Vortex Gallery|VGOn24	
368	ko	Kemo	ay	Bartchill	1
468	ko	Kemo	ay	Bartchill	1
1184	ay	Bartchill	so	Zerobass	2
1299	ay	Bartchill	so	Zerobass	2
